X Coordinate,Y Coordinate,Z Coordinate,SSID,BSSID,Signal,Frequency,Auth,AKM
0,0,0,eduroam,70:3a:0e:5c:dc:30:,-89,5620000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0d:90:,-89,5580000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0a:b0:,-82,5280000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:00:a0:,-76,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:db:20:,-66,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0a:a0:,-76,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:f6:a0:,-80,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:c0:c0:,-65,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:c0:d0:,-82,5765000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:e8:e0:,-67,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:00:10:,-85,5680000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:e8:f0:,-77,5745000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:77:70:,-51,5560000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:d0:90:,-82,5520000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:e0:10:,-90,5320000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:87:10:,-82,5300000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:db:30:,-88,5240000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:87:00:,-69,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:77:60:,-50,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:e0:00:,-61,2412000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:dc:32:,-89,5620000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:61:0d:92:,-91,5580000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:61:00:a2:,-76,2462000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:c0:d2:,-82,5765000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:c0:c2:,-66,2462000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:61:0a:b2:,-82,5280000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:60:e8:e2:,-66,2462000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:61:0a:a2:,-79,2437000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:60:e8:f2:,-77,5745000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:61:00:12:,-84,5680000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:62:77:72:,-52,5560000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:d0:92:,-82,5520000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:e0:12:,-91,5320000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:62:87:12:,-82,5300000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:db:32:,-88,5240000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:62:87:02:,-73,2462000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:db:22:,-66,2462000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:62:77:62:,-49,2437000,[0],[4]
0,0,0,UofM-IoT,70:3a:0e:5c:e0:02:,-61,2412000,[0],[4]
0,0,0,UofM-Guest,70:3a:0e:5c:dc:31:,-89,5620000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:61:0d:91:,-89,5580000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:61:0a:b1:,-82,5280000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:db:21:,-66,2462000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:c0:d1:,-82,5765000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:c0:c1:,-66,2462000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:c1:c1:,-80,2412000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:62:87:01:,-73,2462000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:60:e8:e1:,-66,2462000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:61:0a:a1:,-79,2437000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:60:e8:f1:,-77,5745000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:61:00:11:,-85,5680000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:62:77:71:,-52,5560000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:d0:91:,-82,5520000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:e0:11:,-90,5320000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:62:87:11:,-82,5300000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:db:31:,-88,5240000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:62:77:61:,-49,2437000,[0],[0]
0,0,0,UofM-Guest,70:3a:0e:5c:e0:01:,-61,2412000,[0],[0]
0,0,0,eduroam,70:3a:0e:5c:dc:30:,-89,5620000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0d:90:,-89,5580000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0a:b0:,-82,5280000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:00:a0:,-76,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:db:20:,-66,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:0a:a0:,-76,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:f6:a0:,-80,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:c0:c0:,-65,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:c0:d0:,-82,5765000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:e8:e0:,-67,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:61:00:10:,-85,5680000,[0],[4]
0,0,0,eduroam,70:3a:0e:60:e8:f0:,-77,5745000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:77:70:,-51,5560000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:d0:90:,-82,5520000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:e0:10:,-90,5320000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:87:10:,-82,5300000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:db:30:,-88,5240000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:87:00:,-69,2462000,[0],[4]
0,0,0,eduroam,70:3a:0e:62:77:60:,-50,2437000,[0],[4]
0,0,0,eduroam,70:3a:0e:5c:e0:00:,-61,2412000,[0],[4]
0,0,0,DIRECT-91-HP M454dw Color LJ,4a:9e:bd:69:6a:91:,-73,2437000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:dc:30:,-89,5620000,[0],[4]
0,0,5,eduroam,70:3a:0e:61:0d:90:,-89,5580000,[0],[4]
0,0,5,eduroam,70:3a:0e:61:0a:b0:,-82,5280000,[0],[4]
0,0,5,eduroam,70:3a:0e:61:00:a0:,-76,2462000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:db:20:,-66,2462000,[0],[4]
0,0,5,eduroam,70:3a:0e:61:0a:a0:,-76,2437000,[0],[4]
0,0,5,eduroam,70:3a:0e:60:f6:a0:,-80,2437000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:c0:c0:,-65,2462000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:c0:d0:,-82,5765000,[0],[4]
0,0,5,eduroam,70:3a:0e:60:e8:e0:,-72,2462000,[0],[4]
0,0,5,eduroam,70:3a:0e:61:00:10:,-85,5680000,[0],[4]
0,0,5,eduroam,70:3a:0e:60:e8:f0:,-75,5745000,[0],[4]
0,0,5,eduroam,70:3a:0e:62:77:70:,-51,5560000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:d0:90:,-82,5520000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:e0:10:,-90,5320000,[0],[4]
0,0,5,eduroam,70:3a:0e:62:87:10:,-73,5300000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:db:30:,-86,5240000,[0],[4]
0,0,5,eduroam,70:3a:0e:62:87:00:,-70,2462000,[0],[4]
0,0,5,eduroam,70:3a:0e:62:77:60:,-52,2437000,[0],[4]
0,0,5,eduroam,70:3a:0e:5c:e0:00:,-61,2412000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:dc:32:,-89,5620000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:61:0d:92:,-91,5580000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:61:00:a2:,-76,2462000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:c0:d2:,-82,5765000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:c0:c2:,-66,2462000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:61:0a:b2:,-82,5280000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:60:e8:e2:,-71,2462000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:61:0a:a2:,-79,2437000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:60:e8:f2:,-75,5745000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:61:00:12:,-84,5680000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:62:77:72:,-48,5560000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:d0:92:,-82,5520000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:e0:12:,-91,5320000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:62:87:12:,-73,5300000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:db:32:,-87,5240000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:62:87:02:,-70,2462000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:db:22:,-66,2462000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:62:77:62:,-52,2437000,[0],[4]
0,0,5,UofM-IoT,70:3a:0e:5c:e0:02:,-61,2412000,[0],[4]
0,0,5,UofM-Guest,70:3a:0e:5c:dc:31:,-89,5620000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:61:0d:91:,-89,5580000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:61:0a:b1:,-82,5280000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:5c:db:21:,-66,2462000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:5c:c0:d1:,-82,5765000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:5c:c0:c1:,-66,2462000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:5c:c1:c1:,-80,2412000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:62:87:01:,-70,2462000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:60:e8:e1:,-66,2462000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:61:0a:a1:,-79,2437000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:60:e8:f1:,-75,5745000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:61:00:11:,-85,5680000,[0],[0]
0,0,5,UofM-Guest,70:3a:0e:62:77:71:,-48,5560000,[0],[0]
